Year,Population,Men,Women,0-17,18-65,65+,70+,Household units,Average number of residents per household,Swedish citizens,Foreign citizens,Persons who became Swedish citizens,Foreign-born,Foreign-born who are Swedish citizens,Swedish-born with two foreign-born parents,Foreign background,Population growth,Births,Total fertility rate,Deaths,"Life expectancy, men","Life expectancy, women",Infant mortality rate,In-migration,Out-migration,Marriages,Divorces,Registered partnership,Deregistered partnership
2023,10551707,5312519,5239188,2176224,6200731,2174752,1631033,,,,,,2170627,,,,30151,100051,1,94385,,,,94514,73434,44190,21231,,27
2022,10521556,5298324,5223232,2194785,6179634,2147137,1604397,4883816,2,9656300,865256,92225,2145674,1358014,681448,2827122,69230,104734,2,94737,81,85,2,102436,50592,47883,21531,,27
2021,10452326,5260707,5191619,2198240,6135320,2118766,1578546,4831811,2,9571500,880826,89354,2090503,1292203,662069,2752572,73031,114263,2,91958,81,85,2,90631,48284,38895,23647,,38
2020,10379295,5222847,5156448,2189403,6101806,2088086,1551352,4776239,2,9473972,905323,80175,2046731,1227977,639309,2686040,51706,113077,2,98124,81,84,2,82518,48937,37591,25619,,42
2019,10327589,5195814,5131775,2180508,6081714,2065367,1525319,4718271,2,9387009,940580,64206,2019733,1168202,615234,2634967,97404,114523,2,88766,81,85,2,115805,47718,48481,25407,,48
2018,10230185,5142438,5087747,2155379,6039095,2035711,1486400,4657395,2,9297919,932266,63818,1955569,1110727,587851,2543420,109943,115832,2,92185,81,84,2,132602,46981,50796,24958,,61
2017,10120242,5082662,5037580,2121598,5992498,2006146,1445754,4593508,2,9222906,897336,68898,1877050,1064041,561957,2439007,125089,115416,2,91972,81,84,2,144489,45620,52497,24210,,78
2016,9995153,5013347,4981806,2076407,5941889,1976857,1403591,4536214,2,9143204,851949,60343,1784497,1012941,535805,2320302,144136,117425,2,90982,81,84,2,163005,45878,53817,24258,,72
2015,9851017,4930966,4920051,2025077,5878713,1947227,1358296,4481746,2,9068184,782833,48249,1676264,969494,510756,2187020,103662,114870,2,90907,80,84,2,134240,55830,52314,24876,,80
2014,9747355,4872240,4875115,1985282,5849189,1912884,1313746,4432614,2,9007920,739435,42918,1603551,937016,488655,2092206,102491,114907,2,88976,80,84,2,126966,51237,53113,26143,,93
2013,9644864,4814357,4830507,1952478,5820179,1872207,1268851,4389007,2,8950202,694662,49632,1533493,908913,467697,2001190,88971,113593,2,90402,80,84,3,115845,50715,51610,26933,,130
2012,9555893,4765905,4789988,1928121,5799489,1828283,1232352,4360368,2,8888661,667232,49746,1473256,875227,448736,1921992,73038,113177,2,91938,80,84,3,103059,51747,56240,25005,,146
